code,courseNameEN,courseNameTH,credit,prerequisites,corequisites,category,curriculum,Year
2301107,Calculus I,แคลคูลัส 1,3,,,วิชาแกน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301173,Programming,การเขียนโปรแกรม,4,,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566, เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2304121,Physics,ฟิสิกส์สำหรับนักวิทยาศาสตร์กายภาพ,3,,,วิชาพื้นฐานวิทยาศาสตร์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2304181,Phy Lab,ปฏิบัติการฟิสิกส์พื้นฐาน,1,,2304121,วิชาพื้นฐานวิทยาศาสตร์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2303107,General Biology,ชีววิทยาทั่วไป,3,,,วิชาพื้นฐานวิทยาศาสตร์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2303108,Gen Bio Lab,ปฏิบัติการชีววิทยาทั่วไป,1,,2303107,วิชาพื้นฐานวิทยาศาสตร์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
5500111,Exp Eng I,ภาษาอังกฤษเพื่อการเรียนรู้ในชีวิตจริง 1,3,,,กลุ่มวิชาภาษา,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301108,Calculus II,แคลคูลัส 2,3,2301107,,วิชาแกน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301220,Math Model,ตัวแบบและการให้เหตุผลเชิงคณิตศาสตร,3,,,วิชาแกน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301260,Prog Tech,เทคนิคการทำโปรแกรม,4,2301173,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2301180,Explore CS,เปิดโลกวิทยาการคอมพิวเตอร์,2,2301173,,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2302161,Gen Chem,เคมีทั่วไป,3,,,วิชาพื้นฐานวิทยาศาสตร์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
2302113,Gen Chem Lab,ปฏิบัติการเคมีทั่วไป,1,,2302161,วิชาพื้นฐานวิทยาศาสตร์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",66
